Epoch: [38/100], Step: [201/313], Validation Acc: 78.96
Epoch: [38/100], Step: [201/313], Train Acc: 100.00
Epoch: [38/100], Step: [301/313], Validation Acc: 78.94
Epoch: [38/100], Step: [301/313], Train Acc: 100.00
Epoch: [39/100], Step: [101/313], Validation Acc: 78.94
Epoch: [39/100], Step: [101/313], Train Acc: 100.00
Epoch: [39/100], Step: [201/313], Validation Acc: 79.08
Epoch: [39/100], Step: [201/313], Train Acc: 100.00
Epoch: [39/100], Step: [301/313], Validation Acc: 78.92
Epoch: [39/100], Step: [301/313], Train Acc: 100.00
Epoch: [40/100], Step: [101/313], Validation Acc: 78.92
Epoch: [40/100], Step: [101/313], Train Acc: 100.00
Epoch: [40/100], Step: [201/313], Validation Acc: 78.94
Epoch: [40/100], Step: [201/313], Train Acc: 100.00
Epoch: [40/100], Step: [301/313], Validation Acc: 79.12
Epoch: [40/100], Step: [301/313], Train Acc: 100.00
Epoch: [41/100], Step: [101/313], Validation Acc: 78.92
Epoch: [41/100], Step: [101/313], Train Acc: 100.00
Epoch: [41/100], Step: [201/313], Validation Acc: 78.9
Epoch: [41/100], Step: [201/313], Train Acc: 100.00
Epoch: [41/100], Step: [301/313], Validation Acc: 79.1
Epoch: [41/100], Step: [301/313], Train Acc: 100.00
Epoch: [42/100], Step: [101/313], Validation Acc: 78.92
Epoch: [42/100], Step: [101/313], Train Acc: 100.00
Best val accuracy:  81.3
